

   1                   : lake code
GCL                 Rankin - Hanslit Survey (HS testing)
001129                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80. Adjusted for size selectivity.

depth / transect / targets / %sockeye / %stickleback

 5-10   1     15  1.00  0.00
 5-10   2     16  1.00  0.00
 5-10   3      3  1.00  0.00
 5-10   4      1  1.00  0.00
 5-10   5      0  1.00  0.00
 5-10   6      0  1.00  0.00
 5-10   7      1  1.00  0.00
 5-10   8     22  1.00  0.00
 5-10   9     28  1.00  0.00
 5-10  10     14  1.00  0.00
 5-10  11      5  1.00  0.00
 5-10  12      0  1.00  0.00
 5-10  13      4  1.00  0.00
 5-10  14      0  1.00  0.00
 5-10  15      2  1.00  0.00
 5-10  16      4  1.00  0.00
 5-10  17      0  1.00  0.00
 5-10  18      2  1.00  0.00
10-15   1     62  1.00  0.00
10-15   2    170  1.00  0.00
10-15   3     28  0.00  1.00
10-15   4     19  1.00  0.00
10-15   5      1  1.00  0.00
10-15   6     10  1.00  0.00
10-15   7      2  1.00  0.00
10-15   8    145  1.00  0.00
10-15   9    368  0.00  1.00
10-15  10    126  0.00  1.00
10-15  11     46  1.00  0.00
10-15  12      8  1.00  0.00
10-15  13     18  1.00  0.00
10-15  14      6  1.00  0.00
10-15  15     13  1.00  0.00
10-15  16     14  1.00  0.00
10-15  17      9  1.00  0.00
10-15  18     20  1.00  0.00
15-20   1     18  1.00  0.00
15-20   2    109  1.00  0.00
15-20   3     25  1.00  0.00
15-20   4     37  1.00  0.00
15-20   5      4  1.00  0.00
15-20   6     14  1.00  0.00
15-20   7     10  1.00  0.00
15-20   8     60  1.00  0.00
15-20   9    177  1.00  0.00
15-20  10    107  1.00  0.00
15-20  11     51  1.00  0.00
15-20  12     18  1.00  0.00
15-20  13     15  1.00  0.00
15-20  14     18  1.00  0.00
15-20  15     40  1.00  0.00
15-20  16     23  1.00  0.00
15-20  17     23  1.00  0.00
15-20  18     28  1.00  0.00
20-30   1     21  1.00  0.00
20-30   2    127  1.00  0.00
20-30   3     60  1.00  0.00
20-30   4     62  1.00  0.00
20-30   5     31  1.00  0.00
20-30   6     73  1.00  0.00
20-30   7     37  1.00  0.00
20-30   8    118  1.00  0.00
20-30   9    190  1.00  0.00
20-30  10    149  1.00  0.00
20-30  11    162  1.00  0.00
20-30  12    198  1.00  0.00
20-30  13    150  1.00  0.00
20-30  14    119  1.00  0.00
20-30  15    161  1.00  0.00
20-30  16    138  1.00  0.00
20-30  17    138  1.00  0.00
20-30  18    207  1.00  0.00
30-40   1     20  1.00  0.00
30-40   2     62  1.00  0.00
30-40   3    125  1.00  0.00
30-40   4    152  1.00  0.00
30-40   5    218  1.00  0.00
30-40   6    173  1.00  0.00
30-40   7     76  1.00  0.00
30-40   8     70  1.00  0.00
30-40   9    174  1.00  0.00
30-40  10    221  1.00  0.00
30-40  11    581  1.00  0.00
30-40  12    676  1.00  0.00
30-40  13    476  1.00  0.00
30-40  14    156  1.00  0.00
30-40  15    277  1.00  0.00
30-40  16    316  1.00  0.00
30-40  17    397  1.00  0.00
30-40  18    701  1.00  0.00
40-50   1     17  1.00  0.00
40-50   2     45  1.00  0.00
40-50   3    151  1.00  0.00
40-50   4    165  1.00  0.00
40-50   5    258  1.00  0.00
40-50   6    272  1.00  0.00
40-50   7     40  1.00  0.00
40-50   8     56  1.00  0.00
40-50   9    282  1.00  0.00
40-50  10    298  1.00  0.00
40-50  11    834  1.00  0.00
40-50  12    796  1.00  0.00
40-50  13    405  1.00  0.00
40-50  14    122  1.00  0.00
40-50  15    187  1.00  0.00
40-50  16    238  1.00  0.00
40-50  17    367  1.00  0.00
40-50  18    951  1.00  0.00
