"Lake name","Lake code","Depth min m","Depth max m","Area ha","Transect","Transect length m","Lake latitude","Lake longitude"
"Bear Lake",16,40,50,70,3,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,40,50,70,4,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,40,50,70,5,273,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,40,50,70,6,114,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,50,60,50,1,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,50,60,50,2,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,50,60,50,3,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,50,60,50,4,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,50,60,50,5,143,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,50,60,50,6,51,"56 deg 08 min","126 deg 49 min"
"Bernard Pt.",199,NA,NA,NA,NA,NA,NA,NA
"Bigkalzas Lake",91,NA,NA,NA,NA,NA,"63 deg 15 min","134 deg 35 min"
"Black Lake",116,NA,NA,NA,NA,NA,"48 deg 46 min","124 deg 54 min"
"Bonanza Lake",34,NA,NA,NA,NA,NA,"50 deg 22 min","126 deg 46 min"
"Bonilla Lake",31,2,5,207,1,273,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,2,5,207,2,668,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,2,5,207,3,672,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,2,5,207,4,225,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,3,5,207,1,273,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,3,5,207,2,668,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,3,5,207,3,672,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,3,5,207,4,225,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,5,10,186,1,252,"53 deg 31 min","130 deg 15 min"
