"lk.name","lake_code","depth_min","depth_max","Area","Transect","Length","lake_name","lake_latitude","lake_longitude"
"BONILLA LAKE",31,3,5,207,2,668,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,3,5,207,3,672,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,3,5,207,4,225,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,5,10,186,1,252,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,5,10,186,2,649,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,5,10,186,3,648,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,5,10,186,4,206,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,10,15,167,1,233,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,10,15,167,2,643,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,10,15,167,3,613,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,10,15,167,4,183,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,15,20,149,1,215,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,15,20,149,2,564,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,15,20,149,3,590,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,15,20,149,4,154,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,20,30,127,1,190,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,20,30,127,2,547,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,20,30,127,3,551,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,20,30,127,4,86,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,30,40,102,1,164,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,30,40,102,2,456,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,30,40,102,3,484,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,30,40,102,4,0,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,40,50,78,1,153,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,40,50,78,2,364,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,40,50,78,3,403,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,40,50,78,4,0,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"Bonney Lk",220,2,5,340,1,300,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,2,409,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,3,440,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,4,610,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,5,410,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,6,794,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,7,758,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,8,859,"Bonney Lake",NA,NA
"Bonney Lk",220,2,5,340,9,763,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,1,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,2,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,3,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,4,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,5,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,6,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,7,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,8,0,"Bonney Lake",NA,NA
"Bonney Lk",220,3,5,0,9,0,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,1,255,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,2,378,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,3,420,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,4,518,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,5,290,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,6,760,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,7,741,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,8,807,"Bonney Lake",NA,NA
"Bonney Lk",220,5,10,282,9,734,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,1,217,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,2,335,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,3,370,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,4,424,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,5,147,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,6,703,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,7,696,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,8,738,"Bonney Lake",NA,NA
"Bonney Lk",220,10,15,217,9,715,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,1,183,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,2,299,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,3,345,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,4,360,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,5,30,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,6,632,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,7,659,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,8,692,"Bonney Lake",NA,NA
"Bonney Lk",220,15,20,173,9,643,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,1,132,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,2,233,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,3,106,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,4,286,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,5,0,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,6,423,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,7,606,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,8,639,"Bonney Lake",NA,NA
"Bonney Lk",220,20,30,129,9,538,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,1,58,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,2,96,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,3,14,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,4,117,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,5,0,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,6,165,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,7,542,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,8,506,"Bonney Lake",NA,NA
"Bonney Lk",220,30,40,88,9,418,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,1,0,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,2,0,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,3,0,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,4,0,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,5,0,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,6,16,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,7,423,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,8,446,"Bonney Lake",NA,NA
"Bonney Lk",220,40,50,60,9,344,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,1,0,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,2,0,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,3,0,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,4,0,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,5,0,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,6,0,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,7,344,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,8,350,"Bonney Lake",NA,NA
"Bonney Lk",220,50,60,40,9,233,"Bonney Lake",NA,NA
NA,87,NA,NA,NA,NA,NA,"Bowron Lake","53 deg 14 min","121 deg 22 min"
"Bowser Lk",35,2,5,3206,1,1499,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,2,5,3206,2,1248,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,2,5,3206,3,1802,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,2,5,3206,4,1115,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,2,5,3206,5,1645,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,2,5,3206,6,1201,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,3,5,3081,1,1499,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,3,5,3081,2,1248,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,3,5,3081,3,1802,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,3,5,3081,4,1115,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,3,5,3081,5,1627,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,3,5,3081,6,1065,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,5,10,2763,1,1472,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,5,10,2763,2,1208,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,5,10,2763,3,1802,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,5,10,2763,4,1100,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,5,10,2763,5,1522,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,5,10,2763,6,868,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,10,15,2617,1,1445,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,10,15,2617,2,1171,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,10,15,2617,3,1748,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,10,15,2617,4,1062,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,10,15,2617,5,1445,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,10,15,2617,6,830,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,15,20,2470,1,1417,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,15,20,2470,2,1149,"Bowser Lake","56 deg 25 min","129 deg 30 min"
"Bowser Lk",35,15,20,2470,3,1711,"Bowser Lake","56 deg 25 min","129 deg 30 min"
