source_file,lake,lake_code,survey_date,sounder_type,sounder_gain,acoustic_survey_notes
TARGET07.DAT,"Henderson Lk        Processed by Stephanie Chalmers July 30, 2007",3,2007-07-26,SIMRAD               2,10,23% of sock are hatchery origin
TARGET07.DAT,"Henderson Lk        processed by SC, 13Sep2007.",3,2007-08-23,SIMRAD               2,10,"clear, calm"
TARGET07.DAT,"Henderson Lk        processed by SC, 13Sep2007.",3,2007-08-24,SIMRAD               2,10,"clear, calm"
TARGET07.DAT,Long Lk (A),801,2008-02-22,SIMRAD               2,10,"clear, calm survey by RF and MM"
TARGET07.DAT,Long Lk (A),801,2008-02-23,SIMRAD               2,10,"clear, calm survey by RF and MM, adjusted"
TARGET07.DAT,Long Lk (A)         processed by RF March 08,801,2007-11-07,SIMRAD               2,10,"depth 0-120, no STR"
TARGET07.DAT,Long Lk (A)         processed by RF March 08,801,2007-11-08,SIMRAD               2,10,"depth 0-120, no STR Adjusted"
TARGET07.DAT,Long Lk (B)         processed by RF,802,2008-02-22,SIMRAD               2,10,"clear, calm"
TARGET07.DAT,Long Lk (B)         processed by RF,802,2008-02-23,SIMRAD               2,10,"clear, calm adjusted"
TARGET07.DAT,Long Lk (B)         processed by RF Jan 08,802,2007-11-07,SIMRAD               2,10,"0-120 depth setting, no weather report"
TARGET07.DAT,Long Lk (B)         processed by RF Jan 08,802,2007-11-08,SIMRAD               2,10,"0-120 depth setting, no weather report Adjusted"
TARGET07.DAT,"Osoyoos Lk (N)      Processed by Stephanie Chalmers July 26, 2007",238,2007-07-18,SIMRAD               2,10,sctrd shwrs 23.6 Heavy target overlap in 15-20m strata.
TARGET07.DAT,"Osoyoos Lk (N)      processed by sc, 13Sep2007",238,2007-08-15,SIMRAD               2,10,Heavy target overlap in 20-30m strata
TARGET07.DAT,"Osoyoos_2005        processed by PR, 21Jan2008.",251,2008-01-15,SIMRAD               2,10,"clr,AT-8,ST1.5,lghtwnd,0.5mn EYM20101,ONAFD_DTX"
TARGET07.DAT,"Osoyoos_2005        processed by S. Chalmers, 26Jul2007",251,2007-07-18,SIMRAD               2,10,scattered showers Heavy target overlap in 15-20m strata.
TARGET07.DAT,Owikeno Lk (A)      processed by RF,228,2008-02-20,SIMRAD               2,10,"clear, calm"
TARGET07.DAT,Owikeno Lk (A)      processed by RF,228,2008-02-21,SIMRAD               2,10,"clear, calm adjusted"
TARGET07.DAT,Owikeno Lk (B)      processed by RF,229,2008-02-19,SIMRAD               2,10,"clear, calm"
TARGET07.DAT,Owikeno Lk (B)      processed by RF,229,2008-02-20,SIMRAD               2,10,"clear, calm adjusted"
TARGET07.DAT,"Skaha Lk            Processed by Stephanie ChalmersJuly 25, 2007",241,2007-07-17,SIMRAD               2,10,sctrd shwrs 23.6st
TARGET07.DAT,"Skaha Lk            processed by sc, 17Sep2007.",241,2007-08-13,SIMRAD               2,10,Stickleback = 0+ kokanee
