"lake","lake_code","ats_year","target_survey_code","target_survey_type","survey_date","survey_year","survey_month","transect","depth_code","depth_min","depth_max","targets","prop_sockeye","prop_stickleback","total_prop","transect_length","area","sounder_code","sounder_type","sounder_gain","data_issues","survey_comments","acoustic_survey_notes","key_field_replicate","source_file","line_number","sourcefile_year","source_year_err"
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,2,3,5,0,NA,NA,NA,460,340,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",857,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,2,3,5,0,NA,NA,NA,460,340,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5155,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,3,5,10,15,1,0,1,460,334,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",868,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,3,5,10,11,1,0,1,460,334,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5166,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,4,10,15,53,1,0,1,450,320,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",879,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,4,10,15,57,1,0,1,450,320,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5177,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,5,15,20,7,1,0,1,440,285,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",890,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,5,15,20,7,1,0,1,440,285,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5188,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,6,20,30,1,1,0,1,400,252,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",901,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,6,20,30,1,1,0,1,400,252,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5199,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,7,30,40,2,1,0,1,360,215,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",912,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,7,30,40,0,NA,NA,NA,360,215,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5210,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,8,40,50,0,NA,NA,NA,320,172,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",923,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,8,40,50,0,NA,NA,NA,320,172,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5221,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,9,50,60,0,NA,NA,NA,290,25,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",934,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,9,50,60,0,NA,NA,NA,290,25,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5232,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,1,2,5,5,1,0,1,710,350,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",847,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,1,2,5,1,1,0,1,710,350,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5145,1989,FALSE
