"Lake","ATS Year","Date","Sounder Type","#Transects","#Targets","#Trawls","Surface Trawls","Trawl Time (min)","#Fish","#Sockeye","#Stickleback","Others"
"Eden Lake","1981",1981-10-08,NA,NA,NA,4,1,90,50,48,1,1
"Eden Lake","1981",1981-10-09,NA,NA,NA,1,0,25,13,13,0,0
"Eden Lake","1982",1982-09-29,"FURUNO FM 22         ",4,409,5,1,110,100,41,57,2
"Eden Lake","1983",1983-09-02,"FURUNO FM 22         ",4,285,4,1,75,23,21,0,2
"Eden Lake","1983",1983-09-03,NA,NA,NA,2,0,40,19,19,0,0
"Eden Lake","1984",1984-09-01,"FURUNO FM 22         ",4,224,2,0,30,17,17,0,0
"Eden Lake","1984",1984-09-02,NA,NA,NA,1,0,15,2,2,0,0
"Eden Lake","1985",1985-08-30,"SIMRAD               ",4,939,1,0,15,20,20,0,0
"Eden Lake","1985",1985-08-31,NA,NA,NA,3,0,45,57,57,0,0
"Eden Lake","1986",1986-09-06,"SIMRAD               ",4,482,NA,NA,NA,NA,NA,NA,NA
"Eden Lake","1986",1986-09-07,"FURUNO FM 22         ",4,127,5,0,75,38,36,2,0
"Eden Lake","1991",1991-10-22,"SIMRAD               ",4,281,NA,NA,NA,NA,NA,NA,NA
"Eden Lake","1993",1993-08-20,"SIMRAD               ",4,809,NA,NA,NA,NA,NA,NA,NA
"Eden Lake","1994",1994-09-08,"SIMRAD               ",4,601,NA,NA,NA,NA,NA,NA,NA
"Ellerslie Lake","1988",1988-08-31,"SIMRAD               ",14,756,3,0,0,6,6,0,0
"Ellerslie Lake","1988",1988-09-01,NA,NA,NA,4,0,0,14,13,1,0
"Ellerslie Lake","1988",1988-09-02,NA,NA,NA,3,0,0,7,7,0,0
"Ellerslie Lake","1991",1991-08-24,"SIMRAD               ",14,731,1,0,0,4,4,0,0
"Fred Wright Lake","1978",1978-06-26,NA,NA,NA,2,0,60,285,285,0,0
"Fred Wright Lake","1978",1978-10-05,"FURUNO FM 22         ",4,3634,3,0,76,249,249,0,0
"Fred Wright Lake","1991",1991-09-08,"SIMRAD               ",4,1070,5,2,0,53,53,0,0
"Fred Wright Lake","1991",1991-09-09,NA,NA,NA,1,0,0,19,19,0,0
"Fulmore_2005","2004",2005-02-26,"SIMRAD               ",8,326,NA,NA,NA,NA,NA,NA,NA
"Glendale Lake","1984",1984-11-03,"FURUNO FM 22         ",4,239,7,1,101,46,35,11,0
"Glendale Lake","1985",1985-10-16,"SIMRAD               ",4,716,3,0,45,20,20,0,0
"Great Central Lake","1977",1977-09-20,"FURUNO FM 22         ",6,3159,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1977",1977-09-28,NA,NA,NA,5,0,80,187,187,0,0
"Great Central Lake","1977",1977-09-29,NA,NA,NA,3,0,45,101,101,0,0
"Great Central Lake","1977",1977-11-07,"FURUNO FM 22         ",6,4987,6,0,90,265,265,0,0
"Great Central Lake","1977",1977-11-08,NA,NA,NA,4,0,60,876,876,0,0
"Great Central Lake","1977",1978-03-09,NA,NA,NA,1,0,20,58,58,0,0
"Great Central Lake","1978",1978-07-31,"FURUNO FM 22         ",6,5509,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1978",1978-09-06,"FURUNO FM 22         ",6,3994,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1978",1978-10-17,"FURUNO FM 22         ",6,8539,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1978",1978-12-05,"FURUNO FM 22         ",6,10803,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1978",1979-02-27,NA,NA,NA,2,0,31,61,61,0,0
"Great Central Lake","1979",1979-05-02,NA,NA,NA,1,0,30,13,13,0,0
"Great Central Lake","1979",1979-07-18,"FURUNO FM 22         ",6,1664,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1979",1979-07-19,NA,NA,NA,1,0,4,334,333,1,0
"Great Central Lake","1979",1979-08-22,NA,NA,NA,1,0,6,14,7,7,0
"Great Central Lake","1979",1979-08-23,NA,NA,NA,1,0,15,105,105,0,0
"Great Central Lake","1979",1979-11-01,NA,NA,NA,2,0,25,93,92,1,0
"Great Central Lake","1979",1979-11-02,NA,NA,NA,1,0,15,90,89,1,0
"Great Central Lake","1979",1979-12-19,NA,NA,NA,3,0,60,191,182,9,0
"Great Central Lake","1979",1979-12-20,"FURUNO FM 22         ",6,8158,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1979",1980-01-14,NA,NA,NA,2,0,35,18,18,0,0
"Great Central Lake","1979",1980-01-15,NA,NA,NA,1,0,20,74,73,1,0
"Great Central Lake","1980",1980-08-27,"FURUNO FM 22         ",6,7784,3,0,45,163,159,4,0
