"Lake","Code","Latitude","Longitude","Transect","Depth Min (m)","Depth Max (m)","Length (m)","Area (ha)"
"Curtis Lake",28,"53° 30' N","129° 50' W",1,40,50,389,93
"Curtis Lake",28,"53° 30' N","129° 50' W",1,50,60,305,63
"Curtis Lake",28,"53° 30' N","129° 50' W",1,60,70,182,40
"Curtis Lake",28,"53° 30' N","129° 50' W",2,2,5,1012,247
"Curtis Lake",28,"53° 30' N","129° 50' W",2,3,5,1012,247
"Curtis Lake",28,"53° 30' N","129° 50' W",2,5,10,1004,216
"Curtis Lake",28,"53° 30' N","129° 50' W",2,10,15,965,198
"Curtis Lake",28,"53° 30' N","129° 50' W",2,15,20,960,186
"Curtis Lake",28,"53° 30' N","129° 50' W",2,20,30,743,164
"Curtis Lake",28,"53° 30' N","129° 50' W",2,30,40,645,129
"Curtis Lake",28,"53° 30' N","129° 50' W",2,40,50,588,93
"Curtis Lake",28,"53° 30' N","129° 50' W",2,50,60,510,63
"Curtis Lake",28,"53° 30' N","129° 50' W",2,60,70,421,40
"Curtis Lake",28,"53° 30' N","129° 50' W",3,2,5,646,247
"Curtis Lake",28,"53° 30' N","129° 50' W",3,3,5,646,247
"Curtis Lake",28,"53° 30' N","129° 50' W",3,5,10,631,216
"Curtis Lake",28,"53° 30' N","129° 50' W",3,10,15,617,198
"Curtis Lake",28,"53° 30' N","129° 50' W",3,15,20,603,186
"Curtis Lake",28,"53° 30' N","129° 50' W",3,20,30,577,164
"Curtis Lake",28,"53° 30' N","129° 50' W",3,30,40,337,129
"Curtis Lake",28,"53° 30' N","129° 50' W",3,40,50,123,93
"Curtis Lake",28,"53° 30' N","129° 50' W",3,50,60,0,63
"Curtis Lake",28,"53° 30' N","129° 50' W",3,60,70,0,40
"Curtis Lake",28,"53° 30' N","129° 50' W",4,2,5,698,247
"Curtis Lake",28,"53° 30' N","129° 50' W",4,3,5,698,247
"Curtis Lake",28,"53° 30' N","129° 50' W",4,5,10,564,216
"Curtis Lake",28,"53° 30' N","129° 50' W",4,10,15,504,198
"Curtis Lake",28,"53° 30' N","129° 50' W",4,15,20,455,186
"Curtis Lake",28,"53° 30' N","129° 50' W",4,20,30,231,164
"Curtis Lake",28,"53° 30' N","129° 50' W",4,30,40,134,129
"Curtis Lake",28,"53° 30' N","129° 50' W",4,40,50,0,93
"Curtis Lake",28,"53° 30' N","129° 50' W",4,50,60,0,63
"Curtis Lake",28,"53° 30' N","129° 50' W",4,60,70,0,40
"Damdochax Lake",38,"56° 30' N","128° 06' W",1,2,5,370,134
"Damdochax Lake",38,"56° 30' N","128° 06' W",1,3,5,361,125
"Damdochax Lake",38,"56° 30' N","128° 06' W",1,5,10,188,101
"Damdochax Lake",38,"56° 30' N","128° 06' W",1,10,15,0,54
"Damdochax Lake",38,"56° 30' N","128° 06' W",1,15,20,0,12
"Damdochax Lake",38,"56° 30' N","128° 06' W",2,2,5,587,134
"Damdochax Lake",38,"56° 30' N","128° 06' W",2,3,5,583,125
"Damdochax Lake",38,"56° 30' N","128° 06' W",2,5,10,402,101
"Damdochax Lake",38,"56° 30' N","128° 06' W",2,10,15,0,54
"Damdochax Lake",38,"56° 30' N","128° 06' W",2,15,20,0,12
"Damdochax Lake",38,"56° 30' N","128° 06' W",3,2,5,614,134
"Damdochax Lake",38,"56° 30' N","128° 06' W",3,3,5,614,125
"Damdochax Lake",38,"56° 30' N","128° 06' W",3,5,10,591,101
"Damdochax Lake",38,"56° 30' N","128° 06' W",3,10,15,534,54
"Damdochax Lake",38,"56° 30' N","128° 06' W",3,15,20,199,12
"Damdochax Lake",38,"56° 30' N","128° 06' W",4,2,5,677,134
"Damdochax Lake",38,"56° 30' N","128° 06' W",4,3,5,667,125
"Damdochax Lake",38,"56° 30' N","128° 06' W",4,5,10,640,101
"Damdochax Lake",38,"56° 30' N","128° 06' W",4,10,15,385,54
"Damdochax Lake",38,"56° 30' N","128° 06' W",4,15,20,0,12
"Devon Lake",29,"53° 27' N","129° 45' W",1,2,5,390,167
"Devon Lake",29,"53° 27' N","129° 45' W",1,3,5,390,167
"Devon Lake",29,"53° 27' N","129° 45' W",1,5,10,382,152
"Devon Lake",29,"53° 27' N","129° 45' W",1,10,15,369,141
"Devon Lake",29,"53° 27' N","129° 45' W",1,15,20,356,131
"Devon Lake",29,"53° 27' N","129° 45' W",1,20,30,334,112
"Devon Lake",29,"53° 27' N","129° 45' W",1,30,40,306,68
"Devon Lake",29,"53° 27' N","129° 45' W",1,40,50,274,26
"Devon Lake",29,"53° 27' N","129° 45' W",1,50,60,0,10
"Devon Lake",29,"53° 27' N","129° 45' W",1,60,70,0,4
"Devon Lake",29,"53° 27' N","129° 45' W",2,2,5,639,167
"Devon Lake",29,"53° 27' N","129° 45' W",2,3,5,639,167
"Devon Lake",29,"53° 27' N","129° 45' W",2,5,10,616,152
"Devon Lake",29,"53° 27' N","129° 45' W",2,10,15,597,141
"Devon Lake",29,"53° 27' N","129° 45' W",2,15,20,562,131
"Devon Lake",29,"53° 27' N","129° 45' W",2,20,30,466,112
"Devon Lake",29,"53° 27' N","129° 45' W",2,30,40,108,68
"Devon Lake",29,"53° 27' N","129° 45' W",2,40,50,0,26
"Devon Lake",29,"53° 27' N","129° 45' W",2,50,60,0,10
"Devon Lake",29,"53° 27' N","129° 45' W",2,60,70,0,4
"Devon Lake",29,"53° 27' N","129° 45' W",3,2,5,496,167
"Devon Lake",29,"53° 27' N","129° 45' W",3,3,5,496,167
"Devon Lake",29,"53° 27' N","129° 45' W",3,5,10,482,152
"Devon Lake",29,"53° 27' N","129° 45' W",3,10,15,467,141
"Devon Lake",29,"53° 27' N","129° 45' W",3,15,20,451,131
"Devon Lake",29,"53° 27' N","129° 45' W",3,20,30,424,112
"Devon Lake",29,"53° 27' N","129° 45' W",3,30,40,272,68
"Devon Lake",29,"53° 27' N","129° 45' W",3,40,50,106,26
"Devon Lake",29,"53° 27' N","129° 45' W",3,50,60,0,10
"Devon Lake",29,"53° 27' N","129° 45' W",3,60,70,0,4
"Devon Lake",29,"53° 27' N","129° 45' W",4,2,5,507,167
"Devon Lake",29,"53° 27' N","129° 45' W",4,3,5,507,167
"Devon Lake",29,"53° 27' N","129° 45' W",4,5,10,496,152
"Devon Lake",29,"53° 27' N","129° 45' W",4,10,15,483,141
